DistrictName,Cropname,Year,Production,Area,Yield,Rainfall
Achham,Paddy,2010,18000,7570,2378,1487.3
Arghakhanchi,Paddy,2010,22796.8,8768,2600,2015.9
Baglung,Paddy,2010,17121,5792,2956,2170.9
Baitadi,Paddy,2010,14182,6221,2280,1692.2
Bajhang,Paddy,2010,10725,4290,2500,1543.5
Bajura,Paddy,2010,5989,7005,855,1414.4
Banke,Paddy,2010,148925,42550,3500,1447.3
Bara,Paddy,2010,168720,52725,3200,2026.6
Bardiya,Paddy,2010,157812.5,117550,1343,1464.1
Bhaktapur,Paddy,2010,23220,4300,5400,2305.2
Bhojpur,Paddy,2010,37632.711,16103,2337,2060.7
Chitwan,Paddy,2010,110944,32770,3386,2187.5
Dadeldhura,Paddy,2010,14123,28541,495,1609
Dailekh,Paddy,2010,26414,13870,1904,1441.7
Dang,Paddy,2010,119720,36500,3280,1586.8
Darchula,Paddy,2010,9579.45,14305,670,1728
Dhading,Paddy,2010,40882,16670,2452,2188.6
Dhankuta,Paddy,2010,21957,9412,2333,2110.4
Dhanusa,Paddy,2010,173521,61972,2800,1866.3
Dolakha,Paddy,2010,6303.596,3133,2012,2451.2
Dolpa,Paddy,2010,586,1265,463,1343.8
Doti,Paddy,2010,21172.5,5300,3995,1609.2
Gorkha,Paddy,2010,49276,17785,2771,2047.6
Gulmi,Paddy,2010,24500.8,10426,2350,2198.4
Humla,Paddy,2010,858.5,2750,312,1519.9
Ilam,Paddy,2010,45690,14825,3082,2682.1
Jajarkot,Paddy,2010,10021,8507,1178,1705.8
Jhapa,Paddy,2010,271920,82400,3300,2700.7
Jumla,Paddy,2010,7434.942,3522,2111,1824.7
Kailali,Paddy,2010,139965,46655,3000,1571.3
Kalikot,Paddy,2010,6089.5,8372,727,1505.8
Kanchanpur,Paddy,2010,130360,106655,1222,1542.3
Kapilbastu,Paddy,2010,225000,72000,3125,1873.2
Kaski,Paddy,2010,66700,23000,2900,2471.9
Kathmandu,Paddy,2010,41730,8025,5200,2276.2
Kavre,Paddy,2010,32915,11350,2900,2371.8
Khotang,Paddy,2010,27459,14129,1943,1944.6
Lalitpur,Paddy,2010,21390,4650,4600,2323.9
Lamjung,Paddy,2010,33883.5,16135,2100,2315.3
Mahottari,Paddy,2010,78440,34776,2256,1970
Makwanpur,Paddy,2010,36630,11100,3300,2236.8
Manang,Paddy,2010,0,0,0,1735.8
Morang,Paddy,2010,258060,78200,3300,2219.9
Mugu,Paddy,2010,781,565,1382,1437.8
Mustang,Paddy,2010,0,0,0,1138.1
Myagdi,Paddy,2010,10256.4,3895,2633,2047.5
Nawalparasi,Paddy,2010,180373,46690,3863,2110.9
Nuwakot,Paddy,2010,54843,16625,3299,2199.1
